hardware vs. memory (1000),,,
time+,buffalo,csel-kh1250-13,csel-kh1262-13
189.99,,1.1,
190.11,1.2,,
190.33,,1.1,
190.45,1.2,,
190.66,,1.1,
190.79,1.2,,
190.99,,1.1,
191.13,1.2,,
191.33,,1.1,
191.48,1.2,,
191.67,,1.1,
191.82,1.2,,
192.0,,1.1,
192.18,1.2,,
192.33,,1.1,
192.52,1.2,,
192.67,,1.1,
192.86,1.2,,
193.01,,1.1,
193.21,1.2,,
193.34,,1.1,
193.55,1.2,,
193.67,,1.1,
193.89,1.2,,
194.01,,1.1,
194.24,1.2,,
194.35,,1.1,
194.58,1.2,,
194.68,,1.1,
194.92,1.2,,
195.01,,1.1,
195.27,1.2,,
195.35,,1.1,
195.61,1.2,,
195.69,,1.1,
195.95,1.2,,
196.02,,1.1,
196.29,1.2,,
196.35,,1.1,
196.64,1.2,,
196.69,,1.1,
196.98,1.2,,
197.02,,1.1,
197.32,1.2,,
197.36,,1.1,
197.66,1.2,,
197.69,,1.1,
198.01,1.2,,
198.03,,1.1,
198.35,1.2,,
198.36,,1.1,
198.7,1.2,,
198.7,,1.1,
199.03,,1.1,
199.04,1.2,,
199.36,,1.1,
199.38,1.2,,
199.7,,1.1,
199.72,1.2,,
200.03,,1.1,
200.06,1.2,,
200.37,,1.1,
200.41,1.2,,
200.7,,1.1,
200.75,1.2,,
201.04,,1.1,
201.09,1.2,,
201.38,,1.1,
201.43,1.2,,
201.71,,1.1,
201.78,1.2,,
202.05,,1.1,
202.12,1.2,,
202.38,,1.1,
202.46,1.2,,
202.72,,1.1,
202.8,1.2,,
203.05,,1.1,
203.15,1.2,,
203.39,,1.1,
203.49,1.2,,
203.72,,1.1,
203.83,1.2,,
204.06,,1.1,
204.17,1.2,,
204.39,,1.1,
204.52,1.2,,
204.73,,1.1,
204.86,1.2,,
205.06,,1.1,
205.2,1.2,,
205.4,,1.1,
205.55,1.2,,
205.73,,1.1,
205.89,1.2,,
206.06,,1.1,
206.23,1.2,,
206.41,,1.1,
206.58,1.2,,
206.74,,1.1,
206.92,1.2,,
207.08,,1.1,
207.27,1.2,,
207.41,,1.1,
207.61,1.2,,
207.74,,1.1,
207.96,1.2,,
208.08,,1.1,
208.3,1.2,,
208.42,,1.1,
208.64,1.2,,
208.75,,1.1,
208.99,1.2,,
209.08,,1.1,
209.33,1.2,,
209.42,,1.1,
209.68,1.2,,
209.75,,1.1,
210.02,1.2,,
210.09,,1.1,
210.37,1.2,,
210.42,,1.1,
210.71,1.2,,
210.76,,1.1,
211.05,1.2,,
211.09,,1.1,
211.4,1.2,,
211.43,,1.1,
211.74,1.2,,
211.76,,1.1,
212.08,1.2,,
212.1,,1.1,
212.43,1.2,,
212.43,,1.1,
212.76,,1.1,
212.77,1.2,,
213.1,,1.1,
213.11,1.2,,
213.44,,1.1,
213.45,1.2,,
213.77,,1.1,
213.8,1.2,,
214.1,,1.1,
214.14,1.2,,
