Id,Label,timeset,group,calls,time,memory_in,memory_out
Scheduler.Scheduler.Generate_Active_Gridpoints,Scheduler.Scheduler.Generate_Active_Gridpoints,,Scheduler,517,0.101221,0,0
inspect.unwrap,inspect.unwrap,,inspect,8753,0.099923,0,0
Lab.Gridpoint.Initialize_Neighbors,Lab.Gridpoint.Initialize_Neighbors,,Lab,2500,0.096928,0,0
Scheduler.Scheduler.Advance_Node_Instructions,Scheduler.Scheduler.Advance_Node_Instructions,,Scheduler,191,0.09692,0,0
matplotlib.RcParams.__setitem__,matplotlib.RcParams.__setitem__,,matplotlib,1266,0.094394,0,0
pandas.util._decorators.<module>,pandas.util._decorators.<module>,,pandas,1,0.092938,0,0
pandas._libs.<module>,pandas._libs.<module>,,pandas,1,0.091908,0,0
sre_parse.State.closegroup,sre_parse.State.closegroup,,sre_parse,272,0.091693,0,0
matplotlib.style.<module>,matplotlib.style.<module>,,matplotlib,1,0.09153,0,0
matplotlib.style.core.<module>,matplotlib.style.core.<module>,,matplotlib,1,0.090377,0,0
matplotlib.style.core.read_style_directory,matplotlib.style.core.read_style_directory,,matplotlib,2,0.089537,0,0
pandas._libs.tslibs.<module>,pandas._libs.tslibs.<module>,,pandas,1,0.086066,0,0
matplotlib.rc_params_from_file,matplotlib.rc_params_from_file,,matplotlib,28,0.084562,0,0
module_from_spec,module_from_spec,,module_from_spec,591,0.084105,0,0
sre_parse.Tokenizer.__next,sre_parse.Tokenizer.__next,,sre_parse,23415,0.08281,0,0
inspect._finddoc,inspect._finddoc,,inspect,2184,0.081733,0,0
norm,norm,,norm,2538,0.080822,0,0
matplotlib.artist.<listcomp>,matplotlib.artist.<listcomp>,,matplotlib,101,0.077096,0,0
AStar.Shape_from_Radius,AStar.Shape_from_Radius,,AStar,62,0.074085,0,0
matplotlib.font_manager.<module>,matplotlib.font_manager.<module>,,matplotlib,1,0.070813,0,0
matplotlib.table.<module>,matplotlib.table.<module>,,matplotlib,1,0.067287,0,0
pandas.core.generic.<module>,pandas.core.generic.<module>,,pandas,1,0.066627,0,0
matplotlib.colors.<module>,matplotlib.colors.<module>,,matplotlib,1,0.066398,0,0
matplotlib.mathtext.<module>,matplotlib.mathtext.<module>,,matplotlib,1,0.0663,0,0
enum.__new__,enum.__new__,,enum,24010,0.063405,0,0
sre_parse.SubPattern.__getitem__,sre_parse.SubPattern.__getitem__,,sre_parse,39638,0.062861,0,0
matplotlib.font_manager._load_fontmanager,matplotlib.font_manager._load_fontmanager,,matplotlib,1,0.062758,0,0
Lab.Gridpoint.Add_Droplet,Lab.Gridpoint.Add_Droplet,,Lab,1936,0.061331,0,0
pandas.io.api.<module>,pandas.io.api.<module>,,pandas,1,0.061234,0,0
matplotlib.font_manager.json_load,matplotlib.font_manager.json_load,,matplotlib,1,0.060725,0,0
matplotlib._mathtext.<module>,matplotlib._mathtext.<module>,,matplotlib,1,0.059364,0,0
matplotlib._preprocess_data,matplotlib._preprocess_data,,matplotlib,92,0.058763,0,0
matplotlib.axes._secondary_axes.<module>,matplotlib.axes._secondary_axes.<module>,,matplotlib,1,0.058759,0,0
json.load,json.load,,json,1,0.058584,0,0
matplotlib.cbook.class_factory,matplotlib.cbook.class_factory,,matplotlib,1,0.056283,0,0
matplotlib._mathtext.Parser,matplotlib._mathtext.Parser,,matplotlib,1,0.055912,0,0
matplotlib._mathtext.<lambda>,matplotlib._mathtext.<lambda>,,matplotlib,1,0.055101,0,0
matplotlib._mathtext.<listcomp>,matplotlib._mathtext.<listcomp>,,matplotlib,1,0.055084,0,0
json.loads,json.loads,,json,3,0.055035,0,0
json.decoder.JSONDecoder.decode,json.decoder.JSONDecoder.decode,,json,3,0.054964,0,0
json.decoder.JSONDecoder.raw_decode,json.decoder.JSONDecoder.raw_decode,,json,3,0.054923,0,0
typing.inner,typing.inner,,typing,317,0.054821,0,0
textwrap.dedent,textwrap.dedent,,textwrap,362,0.053351,0,0
numpy.lib.<module>,numpy.lib.<module>,,numpy,1,0.051037,0,0
numpy.core._add_newdocs_scalars.<module>,numpy.core._add_newdocs_scalars.<module>,,numpy,1,0.050688,0,0
_init_module_attrs,_init_module_attrs,,_init_module_attrs,591,0.04903,0,0
pyparsing.core.<module>,pyparsing.core.<module>,,pyparsing,1,0.048581,0,0
