time+,virt,%cpu,total-runtime
322.61,1.465,12.5,
322.95,1.465,12.5,
323.28,1.465,12.5,
323.62,1.465,12.5,
323.95,1.465,12.5,
324.29,1.465,12.5,
324.62,1.465,12.5,
324.96,1.465,12.5,
325.29,1.465,12.5,
325.63,1.465,12.5,
325.96,1.465,12.5,
326.29,1.465,12.5,
326.63,1.465,12.5,
326.97,1.465,12.5,
327.3,1.465,12.5,
327.63,1.465,12.5,
327.97,1.465,12.5,
328.31,1.465,12.5,
328.64,1.465,12.5,
328.97,1.465,12.5,
329.31,1.465,12.5,
329.64,1.465,12.5,
329.98,1.465,12.5,
330.32,1.465,12.5,
330.65,1.465,11.4,
330.99,1.465,12.5,
331.32,1.465,12.5,
331.66,1.465,12.5,
331.99,1.465,12.5,
332.33,1.465,12.5,
332.66,1.465,12.5,
332.99,1.465,12.5,
333.33,1.465,12.5,
333.67,1.465,12.5,
334.21,1.465,12.5,
334.55,1.465,12.5,
334.88,1.465,12.5,
335.22,1.465,12.5,
335.55,1.465,12.5,
335.89,1.465,12.5,
336.22,1.465,12.5,
336.56,1.465,12.5,
336.89,1.465,12.5,
337.23,1.465,12.5,
337.56,1.465,12.5,
337.9,1.465,12.5,
338.23,1.465,12.5,
338.57,1.465,12.5,
338.9,1.465,12.5,
339.24,1.465,12.5,
339.57,1.465,12.5,
339.9,1.465,12.5,
340.24,1.465,11.4,
340.58,1.465,12.5,
340.91,1.465,12.5,
341.24,1.465,12.5,
341.58,1.465,12.5,
341.92,1.465,13.8,
342.25,1.465,12.5,
342.58,1.465,12.5,
342.92,1.465,12.5,
343.25,1.465,12.5,
343.59,1.465,12.5,
343.92,1.465,12.5,
344.26,1.465,12.5,
344.59,1.465,12.5,
344.93,1.465,12.5,
345.26,1.465,12.5,
345.6,1.465,12.5,
345.93,1.465,12.5,
346.27,1.465,12.5,
346.6,1.465,12.5,
346.94,1.465,12.5,
347.27,1.465,12.5,
347.6,1.465,12.5,
347.94,1.465,12.5,
348.28,1.465,12.5,
348.61,1.465,12.5,
348.95,1.465,12.5,
349.28,1.465,12.5,
349.62,1.465,12.5,
349.95,1.465,12.5,
350.29,1.465,12.5,
350.62,1.465,12.5,
350.96,1.465,12.5,
351.29,1.465,12.5,
351.62,1.465,12.5,
351.96,1.465,12.5,
352.3,1.465,12.5,
352.63,1.465,12.5,
352.96,1.465,12.5,
353.31,1.465,12.5,
353.64,1.465,12.5,
353.98,1.465,12.5,
354.31,1.465,12.5,
354.65,1.465,13.8,
354.98,1.465,12.5,
355.32,1.465,12.5,
355.65,1.465,12.5,
355.98,1.465,12.5,
356.32,1.465,11.4,
356.66,1.465,12.5,
356.99,1.465,12.5,
357.32,1.465,12.5,
357.66,1.465,12.5,
358.0,1.465,12.5,
358.33,1.465,12.5,
358.66,1.465,12.5,
359.0,1.465,12.5,
359.33,1.465,12.5,
