gridsize vs. memory,,,,,,,,,,,
time+,gs=500,gs=600,gs=700,gs=800,gs=900,gs=1000,gs=1100,gs=1200,gs=1300,gs=1400,gs=1500
12.6,0.326,,,,,,,,,,
12.62,,,,,,,1.2,,,,
12.64,,,,,0.819,,,,,,
12.65,,,,0.65,,,,,,,
12.66,,,,,,,,,1.6,,
12.69,,0.422,,,,,,,,,
12.69,,,,,,1.0,,,,,
12.69,,,,,,,,,,1.9,
12.7,,,,,,,,1.4,,,
12.71,,,0.527,,,,,,,,
12.76,,,,,,,,,,,2.2
12.93,0.326,,,,,,,,,,
12.96,,,,,,,1.2,,,,
12.97,,,,,0.819,,,,,,
12.99,,,,0.651,,,,,,,
13.0,,,,,,,,,1.6,,
13.02,,0.422,,,,,,,,,
13.02,,,,,,,,,,1.9,
13.03,,,,,,1.0,,,,,
13.04,,,0.529,,,,,,,,
13.04,,,,,,,,1.4,,,
13.1,,,,,,,,,,,2.1
13.26,0.326,,,,,,,,,,
13.29,,,,,,,1.2,,,,
13.31,,,,,0.819,,,,,,
13.32,,,,0.653,,,,,,,
13.33,,,,,,,,,1.6,,
13.35,,0.422,,,,,,,,,
13.36,,,,,,1.0,,,,,
13.36,,,,,,,,,,1.9,
13.37,,,,,,,,1.4,,,
13.38,,,0.531,,,,,,,,
13.43,,,,,,,,,,,2.1
13.59,0.326,,,,,,,,,,
13.62,,,,,,,1.2,,,,
13.64,,,,,0.819,,,,,,
13.65,,,,0.654,,,,,,,
13.66,,,,,,,,,1.6,,
13.68,,0.429,,,,,,,,,
13.69,,,,,,1.0,,,,,
13.69,,,,,,,,,,1.9,
13.71,,,,,,,,1.4,,,
13.72,,,0.532,,,,,,,,
13.77,,,,,,,,,,,2.1
13.92,0.326,,,,,,,,,,
13.96,,,,,,,1.2,,,,
13.97,,,,,0.819,,,,,,
13.98,,,,0.656,,,,,,,
14.0,,,,,,,,,1.6,,
14.01,,0.429,,,,,,,,,
14.03,,,,,,1.0,,,,,
